DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
1/10/2012,0.5,0,13,8.3,-1.1,45
1/11/2012,0.0,0,0,3.3,-1.1,34
1/12/2012,23.4,0,0,5.6,0.6,87
1/13/2012,1.3,0,0,12.2,-0.6,82
1/14/2012,0.0,0,0,1.1,-7.2,77
1/15/2012,0.0,0,0,-7.2,-14.4,67
1/16/2012,1.5,0,30,1.1,-12.2,50
1/17/2012,2.3,0,5,8.9,0.6,49
1/18/2012,0.0,0,0,11.1,-6.1,92
1/19/2012,0.3,0,8,0.6,-8.3,39
1/20/2012,1.3,0,38,0.0,-5.6,49
1/21/2012,4.6,0,74,-5.0,-8.9,47
1/22/2012,0.0,0,0,-1.1,-9.4,33
1/23/2012,5.1,0,0,8.3,-2.2,21
1/24/2012,0.3,0,0,13.3,5.6,51
1/25/2012,0.0,0,0,6.1,2.2,56
1/26/2012,4.3,0,5,5.0,-0.6,36
1/27/2012,22.6,0,0,7.8,2.8,47
1/28/2012,0.0,0,0,7.8,3.3,56
1/29/2012,0.0,0,0,6.1,1.1,66
1/30/2012,0.0,0,0,4.4,-0.6,61
1/31/2012,0.0,0,0,8.3,-1.1,26
2/1/2012,0.0,0,0,15.0,1.7,36
2/2/2012,0.0,0,0,7.2,-0.6,49
2/3/2012,0.0,0,0,3.9,-3.9,50
2/4/2012,0.0,0,0,6.1,-2.2,53
2/5/2012,0.0,0,0,2.2,-5.6,30
2/6/2012,0.0,0,0,10.0,-2.2,61
2/7/2012,0.0,0,0,7.8,-1.1,46
2/8/2012,0.0,0,0,3.3,-5.6,34
2/9/2012,0.0,0,0,8.3,-1.1,42
2/10/2012,0.0,0,0,10.0,-1.1,50
2/11/2012,1.8,0,0,3.9,-1.1,48
2/12/2012,0.0,0,0,-1.1,-8.9,75
2/13/2012,0.0,0,0,5.0,-8.3,62
2/14/2012,0.0,0,0,6.7,-2.2,26
2/15/2012,0.0,0,0,6.1,1.1,10
2/16/2012,1.0,0,0,7.2,1.7,28
2/17/2012,0.3,0,0,11.7,3.3,47
2/18/2012,0.0,0,0,8.3,1.1,59
2/19/2012,0.0,0,0,7.8,-0.6,38
2/20/2012,0.0,0,0,5.0,-2.2,51
2/21/2012,0.0,0,0,6.7,-2.2,41
2/22/2012,0.0,0,0,13.9,2.2,42
2/23/2012,1.3,0,0,12.8,5.0,55
2/24/2012,13.7,0,0,5.6,2.2,34
2/25/2012,0.0,0,0,7.2,0.6,102
2/26/2012,0.0,0,0,5.0,-2.8,69
2/27/2012,0.0,0,0,11.1,-3.3,49
2/28/2012,0.0,0,0,8.9,1.1,57
2/29/2012,7.4,0,23,2.2,-0.6,39
3/1/2012,14.7,0,10,2.8,-3.9,100
3/2/2012,0.0,0,0,1.7,-5.0,38
3/3/2012,9.7,0,3,8.3,1.1,43
3/4/2012,0.0,0,0,5.6,1.1,36
3/5/2012,0.0,0,0,3.3,-3.9,63
3/6/2012,0.0,0,0,3.9,-6.7,52
3/7/2012,0.0,0,0,16.7,0.0,73
3/8/2012,0.0,0,0,20.0,10.0,108
3/9/2012,0.0,0,0,16.1,1.7,49
3/10/2012,0.0,0,3,4.4,-0.6,51
3/11/2012,0.0,0,0,14.4,-1.1,64
3/12/2012,0.0,0,0,21.7,5.6,31
3/13/2012,1.8,0,0,21.7,9.4,43
3/14/2012,0.0,0,0,13.9,4.4,47
3/15/2012,0.0,0,0,5.6,2.8,39
3/16/2012,1.8,0,0,7.8,2.8,24
3/17/2012,0.0,0,0,9.4,4.4,21
3/18/2012,0.0,0,0,23.3,5.0,45
3/19/2012,0.0,0,0,23.3,7.2,36
3/20/2012,0.0,0,0,19.4,6.7,27
3/21/2012,0.0,0,0,25.6,13.3,48
3/22/2012,0.0,0,0,28.3,13.3,45
3/23/2012,0.0,0,0,24.4,14.4,37
3/24/2012,0.0,0,0,15.0,8.3,38
3/25/2012,0.3,0,0,8.9,5.6,30
3/26/2012,0.0,0,0,10.0,0.0,76
3/27/2012,0.0,0,0,9.4,-2.8,65
3/28/2012,1.5,0,0,10.0,3.9,35
3/29/2012,0.3,0,0,7.8,4.4,51
3/30/2012,0.0,0,0,10.6,2.2,50
3/31/2012,0.8,0,0,6.1,2.2,30
4/1/2012,4.8,0,0,10.6,1.1,33
4/2/2012,1.3,0,0,11.7,3.9,57
4/3/2012,0.0,0,0,15.0,2.2,56
4/4/2012,0.0,0,0,17.8,6.1,53
4/5/2012,0.0,0,0,11.1,4.4,56
4/6/2012,0.0,0,0,11.7,2.8,48
4/7/2012,0.0,0,0,11.1,3.3,36
4/8/2012,0.0,0,0,10.0,5.0,43
4/9/2012,0.0,0,0,14.4,6.1,74
4/10/2012,0.0,0,0,17.2,6.1,47
4/11/2012,0.0,0,0,12.2,6.7,42
4/12/2012,8.1,0,0,13.3,6.1,40
4/13/2012,0.0,0,0,18.3,5.0,36
4/14/2012,0.0,0,0,21.7,9.4,45
4/15/2012,0.0,0,0,25.0,12.2,44
4/16/2012,0.0,0,0,30.6,15.0,43
4/17/2012,0.0,0,0,28.9,13.9,52
4/18/2012,0.0,0,0,16.7,9.4,50
4/19/2012,0.0,0,0,18.9,8.3,48
4/20/2012,0.0,0,0,25.0,9.4,55
4/21/2012,0.3,0,0,25.6,12.2,53
4/22/2012,26.4,0,0,16.7,6.7,64
4/23/2012,37.6,0,0,17.2,6.7,67
4/24/2012,0.0,0,0,14.4,7.8,74
4/25/2012,0.0,0,0,16.7,6.1,53
4/26/2012,0.0,0,0,17.2,6.1,48
4/27/2012,0.0,0,0,13.9,4.4,86
4/28/2012,0.0,0,0,15.6,2.8,60
4/29/2012,0.0,0,0,15.0,3.9,55
4/30/2012,0.0,0,0,12.2,5.0,48
5/1/2012,15.2,0,0,10.0,7.2,56
5/2/2012,0.0,0,0,11.1,7.2,41
5/3/2012,1.0,0,0,10.0,7.8,31
5/4/2012,0.3,0,0,13.3,9.4,30
5/5/2012,2.3,0,0,14.4,7.8,17
5/6/2012,0.0,0,0,12.2,7.8,33
5/7/2012,0.0,0,0,15.0,8.9,41
5/8/2012,4.1,0,0,14.4,10.0,51
5/9/2012,6.6,0,0,17.2,13.3,36
5/10/2012,21.6,0,0,19.4,10.0,53
5/11/2012,0.0,0,0,17.8,8.3,47
5/12/2012,0.0,0,0,26.7,10.0,47
5/13/2012,0.0,0,0,26.7,15.0,32
5/14/2012,2.3,0,0,17.8,11.7,26
5/15/2012,12.7,0,0,22.8,13.3,45
5/16/2012,1.5,0,0,22.8,15.6,33
5/17/2012,0.0,0,0,21.1,12.2,42
5/18/2012,0.0,0,0,18.3,9.4,34
5/19/2012,0.0,0,0,18.9,10.6,23
5/20/2012,0.0,0,0,21.7,12.8,30
5/21/2012,0.5,0,0,15.0,12.2,30
5/22/2012,14.7,0,0,17.2,13.3,37
5/23/2012,0.0,0,0,21.7,15.0,26
5/24/2012,0.0,0,0,21.7,15.6,44
5/25/2012,0.0,0,0,23.3,14.4,37
5/26/2012,0.0,0,0,30.0,18.9,43
5/27/2012,0.0,0,0,22.2,17.8,43
5/28/2012,0.0,0,0,20.6,15.6,41
5/29/2012,4.3,0,0,19.4,15.0,35
5/30/2012,0.0,0,0,23.9,16.1,28
5/31/2012,0.0,0,0,28.3,17.2,34
6/1/2012,0.0,0,0,18.3,14.4,51
6/2/2012,28.7,0,0,16.7,12.8,73
6/3/2012,0.3,0,0,16.7,11.7,64
6/4/2012,3.3,0,0,11.7,10.0,78
6/5/2012,3.3,0,0,13.3,10.0,36
6/6/2012,0.0,0,0,16.1,11.1,31
6/7/2012,1.0,0,0,18.3,12.2,28
6/8/2012,7.9,0,0,26.1,12.2,36
6/9/2012,0.0,0,0,26.1,15.0,45
6/10/2012,0.0,0,0,24.4,15.0,40
6/11/2012,0.0,0,0,23.3,13.9,45
6/12/2012,0.3,0,0,23.3,15.6,58
6/13/2012,17.8,0,0,18.3,16.7,32
6/14/2012,0.0,0,0,20.0,16.1,39
6/15/2012,0.0,0,0,20.6,13.9,38
6/16/2012,0.0,0,0,18.3,12.2,47
6/17/2012,0.0,0,0,17.2,11.1,38
6/18/2012,0.0,0,0,17.8,12.8,37
6/19/2012,0.0,0,0,24.4,13.3,47
6/20/2012,0.0,0,0,36.1,18.9,46
6/21/2012,0.0,0,0,35.6,26.7,41
6/22/2012,0.5,0,0,35.0,23.3,45
6/23/2012,30.2,0,0,27.2,18.3,35
6/24/2012,0.0,0,0,28.9,17.8,49
6/25/2012,23.6,0,0,22.8,16.1,43
6/26/2012,1.5,0,0,22.8,16.1,56
6/27/2012,0.0,0,0,25.0,16.1,63
6/28/2012,0.0,0,0,28.3,18.3,44
6/29/2012,1.3,0,0,31.7,18.9,34
6/30/2012,0.0,0,0,32.2,21.1,56
7/1/2012,0.0,0,0,32.8,21.1,42
7/2/2012,0.0,0,0,28.9,20.6,36
7/3/2012,0.0,0,0,30.0,20.0,40
7/4/2012,3.6,0,0,28.9,20.0,37
7/5/2012,0.0,0,0,28.3,21.1,39
7/6/2012,0.0,0,0,26.7,20.0,36
7/7/2012,0.0,0,0,30.0,22.8,43
7/8/2012,0.0,0,0,31.7,21.7,40
7/9/2012,0.0,0,0,28.9,19.4,36
7/10/2012,0.0,0,0,28.3,18.3,33
7/11/2012,0.0,0,0,26.7,18.9,37
7/12/2012,0.0,0,0,30.0,18.9,48
7/13/2012,0.0,0,0,32.2,20.6,49
7/14/2012,0.0,0,0,32.8,22.2,47
7/15/2012,0.0,0,0,32.8,22.2,39
7/16/2012,0.0,0,0,31.1,22.2,43
