duration,start,end,strt_statn,end_statn,userType,gender,tripType
114,08/24/2011 20:53:00,08/24/2011 22:47:00,36,36,,,wait
14,08/24/2011 22:47:00,08/24/2011 23:01:00,36,49,C,,trip
569,08/24/2011 23:01:00,08/25/2011 08:30:00,49,49,,,wait
5,08/25/2011 08:30:00,08/25/2011 08:35:00,49,22,R,M,trip
34,08/25/2011 08:35:00,08/25/2011 09:09:00,22,22,,,wait
8,08/25/2011 09:09:00,08/25/2011 09:17:00,22,50,R,M,trip
213,08/25/2011 09:17:00,08/25/2011 12:50:00,50,50,,,wait
22,08/25/2011 12:50:00,08/25/2011 13:12:00,50,50,C,,trip
80,08/25/2011 13:12:00,08/25/2011 14:32:00,50,50,,,wait
35,08/25/2011 14:32:00,08/25/2011 15:07:00,50,39,C,,trip
155,08/25/2011 15:07:00,08/25/2011 17:42:00,39,39,,,wait
11,08/25/2011 17:42:00,08/25/2011 17:53:00,39,36,R,M,trip
28,08/25/2011 17:53:00,08/25/2011 18:21:00,36,36,,,wait
11,08/25/2011 18:21:00,08/25/2011 18:32:00,36,47,R,M,trip
887,08/25/2011 18:32:00,08/26/2011 09:19:00,47,47,,,wait
12,08/26/2011 09:19:00,08/26/2011 09:31:00,47,35,R,M,trip
188,08/26/2011 09:31:00,08/26/2011 12:39:00,35,35,,,wait
5,08/26/2011 12:39:00,08/26/2011 12:44:00,35,43,R,M,trip
114,08/26/2011 12:44:00,08/26/2011 14:38:00,43,43,,,wait
5,08/26/2011 14:38:00,08/26/2011 14:43:00,43,35,R,M,trip
47,08/26/2011 14:43:00,08/26/2011 15:30:00,35,35,,,wait
14,08/26/2011 15:30:00,08/26/2011 15:44:00,35,57,R,F,trip
209,08/26/2011 15:44:00,08/26/2011 19:13:00,57,57,,,wait
26,08/26/2011 19:13:00,08/26/2011 19:39:00,57,47,C,,trip
55,08/26/2011 19:39:00,08/26/2011 20:34:00,47,47,,,wait
38,08/26/2011 20:34:00,08/26/2011 21:12:00,47,52,C,,trip
40,08/26/2011 21:12:00,08/26/2011 21:52:00,52,52,,,wait
15,08/26/2011 21:52:00,08/26/2011 22:07:00,52,23,C,,trip
49,08/26/2011 22:07:00,08/26/2011 22:56:00,23,23,,,wait
19,08/26/2011 22:56:00,08/26/2011 23:15:00,23,22,C,,trip
22,08/26/2011 23:15:00,08/26/2011 23:37:00,22,22,,,wait
81,08/26/2011 23:37:00,08/27/2011 00:58:00,22,22,C,,trip
116,08/27/2011 00:58:00,08/27/2011 02:54:00,22,22,,,wait
648,08/27/2011 02:54:00,08/27/2011 13:42:00,22,38,C,,trip
2472,08/27/2011 13:42:00,08/29/2011 06:54:00,38,38,,,wait
21,08/29/2011 06:54:00,08/29/2011 07:15:00,38,14,R,F,trip
231,08/29/2011 07:15:00,08/29/2011 11:06:00,14,14,,,wait
4,08/29/2011 11:06:00,08/29/2011 11:10:00,14,32,R,F,trip
41,08/29/2011 11:10:00,08/29/2011 11:51:00,32,32,,,wait
8,08/29/2011 11:51:00,08/29/2011 11:59:00,32,41,C,,trip
106,08/29/2011 11:59:00,08/29/2011 13:45:00,41,41,,,wait
27,08/29/2011 13:45:00,08/29/2011 14:12:00,41,39,C,,trip
186,08/29/2011 14:12:00,08/29/2011 17:18:00,39,39,,,wait
11,08/29/2011 17:18:00,08/29/2011 17:29:00,39,43,R,M,trip
901,08/29/2011 17:29:00,08/30/2011 08:30:00,43,35,,,wait
