origdest,dist,time,speed,polyline,trips
003027,1.03,7.4,8.3,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJHF,172
003029,3.62,21.9,9.9,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IcB`YyAdVQzBATDr@@|@e@nIWvEuAvUSvCmALiAPcDp@eB^}AXS_@w@iCGFIFGB{B_@CBIbAS`CEFSBoHVaCLu@Cm@KkAq@sE{FeDeE?U?IWAk@I[Gg@Qc@Wi@c@Y[C_ACs@McDIy@Ck@]yIY_I,11
003030,0.88,5.0,10.7,wplaGt|}pLbDtB|GfEzBeJl@oBgBaAc@UV_Af@cBh@}A^{@p@YlAlEn@hCdArC`@pA|AxGv@|Cj@nBzA`F\v@,353
003031,4.12,29.1,8.5,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYLQhAeBtCgHXq@RSNa@b@cAvB}FfB_FtBaGd@uAr@iBxAyDlB{Fl@oBVy@PNnDbC[bA,13
003032,0.39,3.0,7.7,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIYZiBlBaF|E}BeC}AcB,764
003033,0.87,8.7,6.0,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIYZiBlBaF|E}BeCcAiA{A}AgGwGcAcAo@u@}BgC_CgCsCwCiAgASO]EM??RCGYe@CUCg@Ch@?B,310
003034,0.6,4.3,8.2,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIYZiBlBaF|E}BeCcAiA{A}AgGwGcAcAo@u@OZ,155
003035,2.98,21.1,8.5,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBq@OUM{@w@wAoAuByBc@k@Oa@Ki@CSGI,32
003036,2.08,13.9,8.9,wplaGt|}pLbDtB|GfEzBeJl@oBgBaAc@UV_Af@cBh@}ASm@FK\o@LEDFL@DCRKTKqAiEc@_Bc@qB{AaF_B_FgCgJcB{F}DmMiAwD_@cAYk@uBqCG[oDsE_@e@Y]t@sA_GsHkL_O{AsBAKBOb@}@YBER]r@m@t@Wa@OWEGu@_Ae@o@i@eAU}@YeC]gC{@WiA\sBx@m@V,814
003037,3.57,23.0,9.3,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IcB`YyAdVQzBATDr@@|@e@nIWvEuAvUaApO]rFKlBw@RkAZVx@{@r@ONy@lAcAlBIDOCwDeB_Aa@KfBQ`CKzASNSTMZ[xBYvEDn@LLp@FfARDzAq@jI}@~Kc@zF,14
