id,name,short_name,lat,lng,region
73,Harvard Square at Brattle St / Eliot St,Harvard Square – Brattle,42.373231,-71.120886,Cambridge
74,Harvard Square at Mass Ave/ Dunster,Harvard Square – Mass Ave,42.373268,-71.118579,Cambridge
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,CambridgeSide Galleria,42.366981,-71.076472,Cambridge
89,Harvard Law School at Mass Ave / Jarvis St,Harvard Law School,42.379011,-71.119945,Cambridge
77,Somerville City Hall,Somerville City Hall,42.386428,-71.096413,Somerville
78,Union Square - Somerville,Union Square - Somerville,42.379637,-71.095319,Somerville
79,Beacon St at Washington / Kirkland,Beacon St / Washington,42.378551,-71.106541,Somerville
71,Conway Park - Somerville Avenue,Conway Park,42.383405,-71.107593,Somerville
94,Charlestown - Main St at Austin St,Charlestown - Main St,42.375603,-71.064608,Charlestown
98,Charlestown - Warren St at Chelsea St,Charlestown - Warren St,42.371848,-71.060292,Charlestown
99,Mayor Thomas M. Menino - Government Center,,42.35892,-71.057629,Financial District
100,Dudley Square,,42.328654,-71.084198,Dudley Square
101,BIDMC - Brookline at Burlington St,,42.345733,-71.100694,Fenway
102,Boston Medical Center -  East Concord at Harrison Ave,,42.336437,-71.073089,South End
103,Boylston at Fairfield,,42.348762,-71.082383,Back Bay
104,Andrew Station - Dorchester Ave at Humboldt Pl,,42.330716,-71.057044,South Boston
105,Mt Pleasant Ave / Dudley Town Common,,42.325333,-71.075354,Dudley Square
106,West Broadway at Dorchester St,,42.335693,-71.045859,South Boston
107,South Boston Library - 646 East Broadway,,42.335741,-71.03877,South Boston
108,E. Cottage St at Columbia Rd,,42.320561,-71.06198,South Boston
109,Upham's Corner - Ramsey St at Dudley St,,42.317225,-71.065421,South Boston
110,New Balance - Guest St. at Life St.,,42.356975,-71.145442,Allston
111,TD Garden - Causeway at Portal Park #2,,42.366222,-71.059914,West End
112,Franklin St. / Arch St.,,42.355402,-71.058087,Downtown
113,Charles Circle - Charles St. at Cambridge St.,,42.36069,-71.070884,Beacon Hill
114,TD Garden - Causeway at Portal Park #1,,42.365942,-71.060515,West End
115,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,,42.378338,-71.048927,Charlestown
116,Charles St at Beacon St,,42.356052,-71.069849,Beacon Hill
117,Milk St at India St,,42.358508,-71.052984,Downtown
118,Hayes Square at Vine St.,,42.377022,-71.056605,Charlestown
119,New Balance Store - Boylston at Dartmouth,,42.350413,-71.07655,Back Bay
120,JP Monument - South St at Centre St,,42.309467,-71.115645,Brookline
121,JP Centre - Centre Street at Myrtle Street,,42.31309,-71.114175,Brookline
122,Hyde Square at Barbara St,,42.320998,-71.110833,Brookline
123,Egleston Square at Columbus Ave,,42.315692,-71.098634,Brookline
124,Green St T,,42.310579,-71.107341,Brookline
125,Jackson Square T at Centre St,,42.322913,-71.100164,Brookline
126,Washington Square at Washington St. / Beacon St.,,42.339335,-71.13493,Brookline
127,JFK Crossing at Harvard St. / Thorndike St.,,42.346563,-71.128374,Brookline
128,Kendall T at Main St,,42.362457,-71.08497,Kendall
129,Harvard University River Houses / Plympton St at Memorial Drive,,42.369832,-71.118201,Harvard Square
130,Harvard University Gund Hall at Quincy St / Kirkland S,,42.376369,-71.114025,Harvard Square
131,Lower Cambridgeport at Magazine St/Riverside Rd,,42.356954,-71.113687,Cambridge
132,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,,42.377945,-71.116865,Harvard Square
133,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,,42.380287,-71.125107,Harvard Square
134,Mass Ave / Linear Park,,42.397828,-71.130516,Cambridge
135,359 Broadway - Broadway at Fayette Street,,42.370803,-71.104412,Cambridge
136,Biogen Idec - Binney St / Sixth St,,42.366095,-71.086388,Kendall
137,Porter Square Station,,42.387995,-71.119084,Porter Square
138,Wilson Square,,42.385582,-71.113341,Porter Square
139,Davis Square,,42.396969,-71.123024,Medford
140,Ball Square,,42.400146,-71.112708,Medford
141,Powder House Circle,,42.400877,-71.116772,Medford
142,Packard Ave / Powderhouse Blvd,,42.40449,-71.123413,Medford
143,Somerville Hospital at Highland Ave / Crocker St,,42.39082,-71.10942,Porter Square
144,Teele Square at 239 Holland St,,42.402763,-71.126908,Medford
145,Summer St at Cutter St,,42.394002,-71.120406,Somerville
